STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,SEO,Socio-economic objectives,FUNDMODE,Funding mode,TRANSCOORD,Transnationally coordinated research,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,AUX_OBS_STATUS,Aux observation status,AUX_OBS_STATUS_2,Aux observation status 2,AUX_OBS_STATUS_3,Aux observation status 3,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,BASE_PER,Base Period,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,BGR,Bulgaria,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2020,,283.8,,,,,,,,,,,,,,,,6,Millions,,,BGN,Bulgarian lev,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2022,,9006.404714,,D,Definition differs,P,Provisional value,,,,,,,,,,,6,Millions,,,AUD,Australian dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2023,,9245.8008,,D,Definition differs,P,Provisional value,,,,,,,,,,,6,Millions,,,AUD,Australian dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2015,,6794.494957,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,AUD,Australian dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2016,,6895.448651,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,AUD,Australian dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,COL,Colombia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2020,,636534.8152,,,,,,,,,,,,,,,,6,Millions,,,COP,Colombian peso,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,COL,Colombia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2015,,791587.8561,,,,,,,,,,,,,,,,6,Millions,,,COP,Colombian peso,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,COL,Colombia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2016,,660734.8967,,,,,,,,,,,,,,,,6,Millions,,,COP,Colombian peso,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,COL,Colombia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2017,,821303.5636,,,,,,,,,,,,,,,,6,Millions,,,COP,Colombian peso,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CHL,Chile,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2015,,321572.515,,,,,,,,,,,,,,,,6,Millions,,,CLP,Chilean peso,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CHL,Chile,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2016,,372153.1714,,,,,,,,,,,,,,,,6,Millions,,,CLP,Chilean peso,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CHL,Chile,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2017,,388352.4505,,,,,,,,,,,,,,,,6,Millions,,,CLP,Chilean peso,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CHL,Chile,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2018,,414224.195,,,,,,,,,,,,,,,,6,Millions,,,CLP,Chilean peso,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CHL,Chile,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2019,,408798.566,,,,,,,,,,,,,,,,6,Millions,,,CLP,Chilean peso,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CHL,Chile,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2020,,417461.6878,,,,,,,,,,,,,,,,6,Millions,,,CLP,Chilean peso,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CHE,Switzerland,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2021,,7371.999495,,,,,,,,,,,,,,,,6,Millions,,,CHF,Swiss franc,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CHE,Switzerland,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2022,,7664.77,,,,,,,,,,,,,,,,6,Millions,,,CHF,Swiss franc,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CHE,Switzerland,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2015,,5873.415648,,,,,,,,,,,,,,,,6,Millions,,,CHF,Swiss franc,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CHE,Switzerland,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2017,,6842.131633,,B,Time series break,,,,,,,,,,,,,6,Millions,,,CHF,Swiss franc,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CHE,Switzerland,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2018,,6682.579363,,,,,,,,,,,,,,,,6,Millions,,,CHF,Swiss franc,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CHE,Switzerland,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2019,,6923.689618,,,,,,,,,,,,,,,,6,Millions,,,CHF,Swiss franc,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CAN,Canada,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2015,,9918,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,CAD,Canadian dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CAN,Canada,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2016,,10206,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,CAD,Canadian dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CAN,Canada,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2017,,11064,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,CAD,Canadian dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CAN,Canada,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2018,,10884,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,CAD,Canadian dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CAN,Canada,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2019,,11454,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,CAD,Canadian dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,CAN,Canada,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2020,,12525,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,CAD,Canadian dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,BGR,Bulgaria,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2022,,365.78,,,,,,,,,,,,,,,,6,Millions,,,BGN,Bulgarian lev,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,LUX,Luxembourg,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2018,,359.58,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,LUX,Luxembourg,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2019,,385.91,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,LUX,Luxembourg,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2020,,375.68,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,LUX,Luxembourg,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2021,,428.31,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,BEL,Belgium,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2015,,2537.333,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,BEL,Belgium,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2016,,2686.3782,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,BEL,Belgium,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2017,,2937.849444,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,BEL,Belgium,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2018,,2938.965429,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,BEL,Belgium,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2019,,3312.6809,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,BEL,Belgium,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2020,,3401.846252,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,BEL,Belgium,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2021,,3664.464353,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,GRC,Greece,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2015,,923.02,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,GRC,Greece,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2016,,946.26,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,GRC,Greece,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2017,,884.64,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,GRC,Greece,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2018,,1118.01,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,EST,Estonia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2019,,175.42,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,EST,Estonia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2020,,187.16,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,EST,Estonia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2021,,215.73,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,LVA,Latvia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2015,,46.6,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,LVA,Latvia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2016,,52.6,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,LVA,Latvia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2017,,60,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,LVA,Latvia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2018,,63.9,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,LVA,Latvia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2019,,69,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,LVA,Latvia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2020,,79.2,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,LVA,Latvia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2021,,84.35,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,FIN,Finland,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2015,,2001.6,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,EST,Estonia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2015,,140.455,,E,Estimated value,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,EST,Estonia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2016,,145.15,,B,Time series break,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,EST,Estonia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2017,,143.15,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,EST,Estonia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2018,,182.39,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,NLD,Netherlands,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2017,,4957.942,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,NLD,Netherlands,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2018,,5520.877,,,,,,,,,,,,,,,,6,Millions,,,EUR,Euro,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,DNK,Denmark,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2022,,23119.6,,E,Estimated value,,,,,,,,,,,,,6,Millions,,,DKK,Danish krone,3,Three
